x, y, z
487, 525, 714

487, 525, 714

487, 525, 714

482, 525, 714

482, 525, 714

486, 524, 715

486, 524, 715

486, 524, 715

487, 526, 716

487, 526, 716

483, 525, 713

483, 525, 713

489, 524, 715

489, 524, 715

487, 525, 714

487, 525, 714

487, 524, 714

487, 524, 714

484, 524, 714

484, 524, 714

488, 524, 717

488, 524, 717

490, 523, 713

490, 523, 713

491, 523, 712

491, 523, 712

490, 524, 715

490, 524, 715

491, 523, 712

491, 523, 712

490, 524, 716

490, 524, 716

492, 523, 714

492, 523, 714

490, 524, 716

490, 524, 716

493, 523, 713

493, 523, 713

487, 524, 713

487, 524, 713

487, 524, 713

493, 523, 716

493, 523, 716

493, 523, 716

489, 524, 715

489, 524, 715

489, 524, 715

491, 523, 712

491, 523, 712

491, 523, 712

490, 524, 716

490, 524, 716

490, 524, 716

490, 524, 716

490, 524, 716

489, 524, 713

489, 524, 713

490, 524, 716

490, 524, 716

490, 523, 714

490, 523, 714

490, 523, 712

490, 523, 712

488, 521, 714

488, 521, 714

490, 523, 715

490, 523, 715

491, 524, 714

491, 524, 714

488, 522, 713

488, 522, 713

489, 523, 714

489, 523, 714

491, 522, 716

491, 522, 716

489, 524, 716

489, 524, 716

490, 523, 713

490, 523, 713

489, 523, 715

489, 523, 715

492, 523, 714

492, 523, 714

492, 523, 714

487, 523, 713

487, 523, 713

487, 523, 713

491, 523, 716

491, 523, 716

491, 523, 715

491, 523, 715

491, 523, 715

489, 523, 714

489, 523, 714

489, 523, 714

489, 522, 713

489, 522, 713

489, 522, 713

490, 523, 716

490, 523, 716

492, 522, 714

492, 522, 714

486, 522, 713

486, 522, 713

493, 523, 716

493, 523, 716

490, 522, 714

490, 522, 714

487, 523, 713

487, 523, 713

491, 523, 715

491, 523, 715

491, 522, 715

491, 522, 715

489, 522, 714

489, 522, 714

489, 523, 714

489, 523, 714

490, 523, 715

490, 523, 715

490, 522, 715

490, 522, 715

488, 522, 712

488, 522, 712

491, 523, 715

491, 523, 715

490, 523, 710

490, 523, 710

490, 523, 710

488, 521, 717

488, 521, 717

488, 521, 717

488, 523, 715

488, 523, 715

488, 523, 715

493, 522, 716

493, 522, 716

493, 522, 716

487, 523, 715

487, 523, 715

487, 523, 715

489, 522, 713

489, 522, 713

490, 523, 715

490, 523, 715

490, 523, 715

490, 522, 715

490, 522, 715

490, 522, 715

488, 522, 713

488, 522, 713

488, 523, 716

488, 523, 716

491, 522, 711

491, 522, 711

488, 522, 715

488, 522, 715

488, 523, 715

488, 523, 715

491, 522, 716

491, 522, 716

487, 523, 713

487, 523, 713

489, 523, 715

489, 523, 715

490, 523, 715

490, 523, 715

489, 523, 715

489, 523, 715

488, 524, 714

488, 524, 714

489, 522, 714

489, 522, 714

489, 522, 714

488, 525, 716

488, 525, 716

488, 525, 716

491, 522, 712

491, 522, 712

486, 523, 714

486, 523, 714

486, 523, 714

489, 523, 715

489, 523, 715

489, 523, 715

489, 522, 714

489, 522, 714

489, 522, 714

489, 522, 714

489, 522, 714

486, 522, 714

486, 522, 714

486, 522, 714

488, 523, 714

488, 523, 714

493, 522, 714

493, 522, 714

484, 524, 716

484, 524, 716

484, 524, 716

493, 522, 715

493, 522, 715

485, 522, 712

485, 522, 712

488, 523, 715

488, 523, 715

491, 522, 716

491, 522, 716

487, 522, 713

487, 522, 713

489, 522, 714

489, 522, 714

487, 523, 714

487, 523, 714

490, 523, 716

490, 523, 716

486, 522, 713

486, 522, 713

488, 524, 714

488, 524, 714

null
490, 522, 715

490, 522, 715

487, 522, 714

487, 522, 714

488, 524, 715

488, 524, 715

488, 524, 715

491, 523, 717

491, 523, 717

491, 523, 717

489, 523, 715

489, 523, 715

488, 522, 711

488, 522, 711

488, 522, 711

487, 523, 715

487, 523, 715

487, 523, 715

491, 523, 715

491, 523, 715

486, 523, 712

486, 523, 712

489, 523, 714

489, 523, 714

490, 527, 721

490, 527, 721

488, 519, 713

488, 519, 713

485, 528, 712

485, 528, 712

492, 521, 716

492, 521, 716

485, 524, 715

485, 524, 715

489, 522, 713

489, 522, 713

489, 524, 717

489, 524, 717

486, 522, 716

486, 522, 716

485, 521, 711

485, 521, 711

492, 525, 713

492, 525, 713

487, 522, 716

487, 522, 716

486, 522, 714

486, 522, 714

486, 522, 714

491, 523, 716

491, 523, 716

491, 523, 716

489, 522, 716

489, 522, 716

484, 524, 714

484, 524, 714

484, 524, 714

494, 522, 711

494, 522, 711

494, 522, 711

482, 524, 714

482, 524, 714

493, 521, 716

493, 521, 716

486, 524, 712

486, 524, 712

486, 524, 712

488, 522, 719

488, 522, 719

489, 524, 716

489, 524, 716

491, 523, 708

491, 523, 708

484, 523, 717

484, 523, 717

491, 524, 715

491, 524, 715

489, 523, 708

489, 523, 708

487, 523, 716

487, 523, 716

486, 524, 718

486, 524, 718

492, 523, 713

492, 523, 713

486, 523, 714

486, 523, 714

488, 524, 714

488, 524, 714

493, 524, 714

493, 524, 714

490, 522, 712

490, 522, 712

479, 520, 711

479, 520, 711

489, 527, 719

489, 527, 719

489, 527, 719

496, 530, 725

496, 530, 725

496, 530, 725

493, 528, 714

493, 528, 714

493, 528, 714

488, 528, 710

488, 528, 710

486, 524, 715

486, 524, 715

486, 524, 715

487, 526, 716

487, 526, 716

490, 525, 710

490, 525, 710

490, 506, 739

490, 506, 739

470, 558, 694

470, 558, 694

518, 498, 714

518, 498, 714

474, 538, 723

474, 538, 723

474, 529, 717

474, 529, 717

518, 523, 714

518, 523, 714

472, 535, 715

472, 535, 715

