x, y, z
498, 530, 717

498, 529, 713

498, 529, 713

496, 526, 715

496, 526, 715

499, 529, 714

499, 529, 714

498, 528, 714

498, 528, 714

498, 527, 715

498, 527, 715

497, 528, 715

497, 528, 715

495, 528, 713

495, 528, 713

499, 527, 717

499, 527, 717

496, 528, 713

496, 528, 713

495, 528, 713

495, 528, 713

499, 528, 717

499, 528, 717

498, 527, 715

498, 527, 715

498, 527, 715

498, 526, 714

498, 526, 714

498, 526, 714

495, 529, 715

495, 529, 715

497, 526, 712

497, 526, 712

497, 526, 712

500, 528, 715

500, 528, 715

500, 528, 715

494, 527, 713

494, 527, 713

500, 527, 718

500, 527, 718

501, 527, 714

501, 527, 714

502, 527, 713

502, 527, 713

498, 527, 715

498, 527, 715

500, 527, 715

500, 527, 715

500, 528, 716

500, 528, 716

507, 525, 714

507, 525, 714

498, 527, 715

498, 527, 715

500, 528, 717

500, 528, 717

504, 526, 712

504, 526, 712

503, 527, 715

503, 527, 715

503, 527, 715

503, 527, 715

504, 526, 714

504, 526, 714

500, 528, 715

500, 528, 715

503, 526, 713

503, 526, 713

508, 526, 715

508, 526, 715

504, 527, 718

504, 527, 718

504, 527, 718

506, 527, 715

506, 527, 715

506, 527, 715

501, 526, 713

501, 526, 713

501, 526, 713

503, 527, 715

503, 527, 715

502, 527, 715

502, 527, 715

502, 527, 715

503, 527, 716

503, 527, 716

500, 528, 715

500, 528, 715

504, 526, 715

504, 526, 715

503, 527, 715

503, 527, 715

499, 528, 716

499, 528, 716

504, 527, 714

504, 527, 714

500, 529, 716

500, 529, 716

502, 527, 715

502, 527, 715

502, 527, 716

502, 527, 716

501, 527, 716

501, 527, 716

498, 528, 716

498, 528, 716

503, 527, 715

503, 527, 715

503, 526, 714

503, 526, 714

500, 528, 715

500, 528, 715

502, 527, 715

502, 527, 715

500, 528, 713

500, 528, 713

500, 528, 713

501, 527, 717

501, 527, 717

501, 528, 715

501, 528, 715

501, 528, 715

503, 527, 713

503, 527, 713

497, 527, 714

497, 527, 714

497, 527, 714

500, 525, 706

500, 525, 706

497, 528, 714

497, 528, 714

497, 527, 713

497, 527, 713

497, 527, 716

497, 527, 716

501, 526, 714

501, 526, 714

497, 527, 714

497, 527, 714

499, 527, 713

499, 527, 713

497, 526, 716

497, 526, 716

501, 526, 714

501, 526, 714

498, 527, 714

498, 527, 714

498, 527, 716

498, 527, 716

498, 527, 715

498, 527, 715

499, 526, 713

499, 526, 713

498, 526, 714

498, 526, 714

498, 527, 716

498, 527, 716

498, 527, 716

502, 526, 715

502, 526, 715

497, 526, 715

497, 526, 715

499, 527, 713

499, 527, 713

501, 527, 717

501, 527, 717

501, 527, 717

498, 525, 714

498, 525, 714

498, 525, 714

